#group,false,false,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,long,dateTime:RFC3339
#default,issues created,,,,,
,result,table,_start,_stop,state,_time
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-19T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-20T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-21T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-22T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-23T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-24T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-25T00:00:00Z

#group,false,false,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,long,dateTime:RFC3339
#default,bugs created,,,,,
,result,table,_start,_stop,state,_time
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-19T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-20T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-21T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-22T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-23T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-24T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-25T00:00:00Z

#group,false,false,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,long,dateTime:RFC3339
#default,issues closed,,,,,
,result,table,_start,_stop,state,_time
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,1,2020-05-19T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-20T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,7,2020-05-21T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,8,2020-05-22T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,9,2020-05-23T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,9,2020-05-24T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,9,2020-05-25T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,8,2020-05-26T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,7,2020-05-27T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-28T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,1,2020-05-29T00:00:00Z

#group,false,false,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,long,dateTime:RFC3339
#default,bugs closed,,,,,
,result,table,_start,_stop,state,_time
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,1,2020-05-20T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,3,2020-05-21T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,4,2020-05-22T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,5,2020-05-23T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,5,2020-05-24T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,5,2020-05-25T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,5,2020-05-26T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,4,2020-05-27T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,2,2020-05-28T00:00:00Z
,,0,2020-05-16T21:36:50.31529675Z,2020-06-15T21:36:50.31529675Z,1,2020-05-29T00:00:00Z


